	version	m	n_cl	n_incl	sparse_rate	hetero_rate	drop_rate	sim_matrix	r	lambdaW	lambdaH	lambdaC	RMSE	MAE	AUROC	AUPRC
110	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	8	1	1	0.1	0.28018616666388946	0.13602940775174527	0.9698085629034159	0.9407818817106259
111	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	8	1	1	1	0.26916611306338656	0.12230752038980879	0.9805823030796332	0.9551183050350154
112	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	8	1	1	1	0.2781071045872783	0.1335369886247841	0.9714553064957913	0.9415188504932381
113	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	10	1	1	0	0.2922110013054575	0.14564397328550843	0.9523079604950739	0.9209410963089115
114	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	10	1	1	0	0.29221100157388574	0.1456439732319924	0.9523079604950739	0.9209410963089115
115	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	10	1	1	0.1	0.2884448500054189	0.1408814632100698	0.9589826152410683	0.9295842709511866
116	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	10	1	1	0.1	0.28873387042311077	0.14115228066102273	0.9587608354652317	0.9284948671532178
117	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	10	1	1	1	0.270306731883222	0.12417948059148518	0.9800433823059591	0.9572684105191535
118	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	10	1	1	1	0.28536026780045126	0.13776159670980054	0.9642092636340016	0.9337035790002759
119	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	20	1	1	0	0.31870384864570356	0.15575255887975292	0.9088275475045453	0.8759960928766647
120	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	20	1	1	0	0.31870399961136736	0.1557527245009699	0.9088261374942588	0.875995037879755
121	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	20	1	1	0.1	0.31441975105345643	0.1512350503927698	0.921395637086803	0.8904715278283604
122	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	20	1	1	0.1	0.31511138541160466	0.1518048739500925	0.9194389138646237	0.8882170995384624
123	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	20	1	1	1	0.29933877149326077	0.1386602452766313	0.9518651801596116	0.9275464402130749
124	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	20	1	1	1	0.30749404749106873	0.14572988857427016	0.9388278168907208	0.9084553443342112
125	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	30	1	1	0	0.33343912867541253	0.1577784058635781	0.8880284115588487	0.8536598316914441
126	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	30	1	1	0	0.3334390622461588	0.1577783900672244	0.8880275952371041	0.8536580851400555
127	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	30	1	1	0.1	0.32915958925796457	0.1533643826154827	0.9044607456475766	0.8718924371473606
128	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	30	1	1	0.1	0.32967530082923846	0.15389288933286321	0.9037009356308783	0.8701085296731524
129	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	30	1	1	1	0.31530074845822426	0.14290089558327917	0.9446896749176757	0.9169996291126367
130	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	30	1	1	1	0.32123560825995334	0.14830984038974532	0.9272119295181869	0.8963232129179131
131	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_M	40	1	1	0	0.34156096729340313	0.15587185432622164	0.8841848719402683	0.8497660340370663
132	v1	100	8	10	0.3	0.2	0.48058278471951954	S_lsi_X	40	1	1	0	0.34156128777692807	0.15587174216958632	0.884086616486627	0.8497306651339611
